CNPJ,FIRM_NAME,CVM_FIRM_TYPE,CVM_CODE,CVM_STATUS
04.880.829/0001-87,AGROPEC BOA SORTE SA,CIAS INCENTIVADAS REGISTRADAS,507890,Cancelado em 14/02/2012
13.951.272/0001-19,AGROPEC BOA VISTA SA,CIAS INCENTIVADAS REGISTRADAS,506648,Cancelado em 14/02/2012
31.690.746/0001-06,AGROPEC BOA VISTA SA,CIAS INCENTIVADAS REGISTRADAS,506745,Cancelado em 22/10/2003
13.951.272/0001-19,AGROPEC BOA VISTA SA,CIAS INCENTIVADAS REGISTRADAS,520497,Cancelado em 11/10/2016
31.499.015/0001-70,AGROPEC BONOMO SA,CIAS INCENTIVADAS REGISTRADAS,508608,Cancelado em 14/02/2012
31.499.015/0001-70,AGROPEC BONOMO SA,CIAS INCENTIVADAS REGISTRADAS,520489,Cancelado em 10/10/2016
08.021.867/0001-35,AGROPEC BRITO IRMAOS SA,CIAS INCENTIVADAS REGISTRADAS,502952,Cancelado em 14/02/2012
04.818.803/0001-09,AGROPEC CAJABI SA,CIAS INCENTIVADAS REGISTRADAS,514381,Cancelado em 28/09/2008
12.799.904/0001-08,AGROPEC CAMBOA SA,CIAS INCENTIVADAS REGISTRADAS,511374,Cancelado em 14/02/2012
11.523.610/0001-96,AGROPEC CAMPO ALEGRE SA,CIAS INCENTIVADAS REGISTRADAS,510327,Cancelado em 14/02/2012
08.668.238/0001-00,AGROPEC CAMPOS SA,CIAS INCENTIVADAS REGISTRADAS,506591,Cancelado em 28/08/1998
09.192.642/0001-04,AGROPEC CANAFISTULA SA,CIAS INCENTIVADAS REGISTRADAS,509272,Cancelado em 24/03/1998
11.848.025/0001-66,AGROPEC CAROCA SA,CIAS INCENTIVADAS REGISTRADAS,506222,Cancelado em 14/02/2012
04.132.437/0001-30,AGROPEC CAROPA SA,CIAS INCENTIVADAS REGISTRADAS,510661,Cancelado em 14/02/2012
04.132.437/0001-30,AGROPEC CAROPA SA,CIAS INCENTIVADAS REGISTRADAS,519430,Cancelado em 03/12/2012
07.127.053/0001-17,AGROPEC CASCAVEL SA - AGROCASA,CIAS INCENTIVADAS REGISTRADAS,509868,Cancelado em 14/02/2012
08.896.839/0001-61,AGROPEC CAXIRIMBU SA,CIAS INCENTIVADAS REGISTRADAS,500372,Cancelado em 14/02/2012
10.767.341/0001-40,AGROPEC CEARENSE SA - ACESA,CIAS INCENTIVADAS REGISTRADAS,515116,Cancelado em 28/09/2008
17.438.920/0001-99,AGROPEC CEDROMINAS SA,CIAS INCENTIVADAS REGISTRADAS,513210,Cancelado em 23/10/1992
14.714.653/0001-47,AGROPEC CORACI PARANA SA,CIAS INCENTIVADAS REGISTRADAS,513717,Cancelado em 14/02/2012
04.418.398/0001-31,AGROPEC CORUMBIARA SA,CIAS INCENTIVADAS REGISTRADAS,513180,Cancelado em 24/10/2012
12.907.572/0001-38,AGROPEC CUPISSURA SA,CIAS INCENTIVADAS REGISTRADAS,516821,Cancelado em 14/02/2012
13.027.644/0001-15,AGROPEC DA BARRA SA,CIAS INCENTIVADAS REGISTRADAS,505811,Cancelado em 14/02/2012
14.056.386/0001-68,AGROPEC DA STA CRUZ SA,CIAS INCENTIVADAS REGISTRADAS,508284,Cancelado em 14/02/2012
14.056.386/0001-68,AGROPEC DA STA CRUZ SA,CIAS INCENTIVADAS REGISTRADAS,519669,Cancelado em 08/11/2013
04.376.224/0001-53,AGROPEC DEMETRIO SA,CIAS INCENTIVADAS REGISTRADAS,507091,Cancelado em 14/02/2012
04.376.224/0001-53,AGROPEC DEMETRIO SA,CIAS INCENTIVADAS REGISTRADAS,520705,Cancelado em 08/01/2018
06.645.196/0001-58,AGROPEC DIAMANTE SA - AGRODISA,CIAS INCENTIVADAS REGISTRADAS,503088,Cancelado em 28/09/2008
04.713.087/0001-03,AGROPEC DO BOSQUE SA,CIAS INCENTIVADAS REGISTRADAS,512699,Cancelado em 14/02/2012
03.208.360/0001-71,AGROPEC DO CACHIMBO SA,CIAS INCENTIVADAS REGISTRADAS,512850,Cancelado em 03/06/1993
14.123.228/0001-83,AGROPEC DO GUAMA SA,CIAS INCENTIVADAS REGISTRADAS,507016,Cancelado em 14/02/2012
